address_id,NHS_number,name,phone,email,date_of_birth,note
7,9435797881,Sabrina harrison,07951254556,sabrina.harrison@example.com,1964-3-25,NULL
9,9435792103,Olujimi Maier,07856403460,olujimi.maier@example.com,1985-6-17,requiers personal assistance
14,9435740820,Olivia Dwight,07042538181,olivia.dwight@example.com,1962-1-21,NULL
10,943 573 2992,Anna Cortwell,07068123994,anna.cortwell@example.com,1985-8-15,NULL
6,9435749895,Natasha Cortwell,07981224780,natasha.cortwell@example.com,1978-6-24,NULL
20,9435783309,Max Cortwell,07720937134,max.cortwell@example.com,1950-5-9,NULL
11,9435741894,Adam Smith,07065560599,adam.smith@example.com,1953-5-17,NULL
12,9435775039,Martha Brien,07907893278,martha.brien@example.com,1963-5-11,NULL
17,9435764428,Denis Pushkin,07066082337,denis.pushkin@example.com,2002-6-14,NULL
15,5560006033,Rick Cobalt,07818148835,rick.cobalt@example.com,1965-9-4,NULL
15,9435807194,Lilly Vixel,07809574156,lilly.vixel@example.com,1999-11-28,NULL
26,9435780156,Ronald Vixy,07975908697,ronald.vixy@example.com,1960-10-4,NULL
28,943 581 7777,Stephanie Vixy,07780400744,stephanie.vixy@example.com,1972-6-20,patient requiers sign language interpretor
26,9435753973,Jack Potter,07815757278,jack.potter@example.com,2003-10-27,NULL
7,9435777066,Mahmood Faruju,07853589045,mahmood.faruju@example.com,1956-4-17,NULL
26,447 935 0845,Vlado Botterill,07027557113,vlado.botterill@example.com,1982-6-11,NULL
23,153 867 4734,Kristina Longstaff,07086558433,kristina.longstaff@example.com,1989-3-12,NULL
28,616 741 6001,Vangelija Stern,07839433192,vangelija.stern@example.com,1968-11-5,NULL
15,857 111 7101,Amos Troy,07989911094,amos.troy@example.com,1990-6-12,NULL
7,469 578 0178,Edvard Simon,07986165453,edvard.simon@example.com,2002-4-15,Previous name is Edvard Lingo
25,826 463 3994,Anat Sandberg,07862190686,anat.sandberg@example.com,2003-2-6,NULL
21,216 274 8290,Zekharyah Kovacheva,07803395774,zekharyah.kovacheva@example.com,1981-11-11,NULL
17,817 626 4520,Sher Hauer,07767350502,sher.hauer@example.com,2002-8-13,NULL
22,781 412 5316,Theon Croocks,07035640971,theon.croocks@example.com,1963-3-16,NULL
14,679 096 6366,Cyntia Svendsten,07077412763,cyntia.svendsten@example.com,1974-11-12,NULL
14,7776486574,Taylor Gallagher,07845344925,taylor.gallagher@example.com,1963-2-27,NULL
10,260 924 3081,Conor Carter,07088555949,conor.carter@example.com,1977-7-25,NULL
16,539 303 4059,Ashton Lee,07787227634,ashton.lee@example.com,1960-11-24,NULL
11,9435756018,Xander Lane,07860184390,xander.lane@example.com,1952-3-3,NULL
19,079 882 2465,Lane Carter,07006049149,lane.carter@example.com,1988-2-8,NULL
2,521 341 5806,Marley Holmes,07039971729,marley.holmes@example.com,1953-10-24,NULL
26,459 633 4110,Noel Atkinson,07981366095,noel.atkinson@example.com,1982-10-3,NULL
20,632 871 4653,Alex Young,07900073484,alex.young@example.com,1974-5-3,requires personal assistance
15,739 445 9128,Terry Ross,07035126955,terry.ross@example.com,1980-12-9,NULL
14,164 947 8127,Taylor Mills,07973311856,taylor.mills@example.com,1958-2-1,NULL
10,404 646 9250,Dane Thomas,07878816102,dane.thomas@example.com,1996-10-21,NULL
27,897 044 4130,Sidney Shaw,07951866108,sidney.shaw@example.com,1956-8-5,NULL
2,727 929 9733,Kit Mcdonald,07734504610,kit.mcdonald@example.com,1969-2-2,NULL
2,885 661 7382,Caden Turner,07784550690,caden.turner@example.com,1972-6-4,NULL
